attack	attack_cost	attack_text	back_flavor	back_link	back_name	back_text	back_traits	base_threat	base_threat_fixed	boost	boost text	boost_text	card_set_code	code	cost	deck_limit	deck_options	deck_requirements	defense	double_sided	duplicate_of	escalation_threat	escalation_threat_fixed	faction_code	flavor	hand_size	health	health_per_hero	hidden	illustrator	is_unique	name	octgn_id	pack_code	pack_name	permanent	position	quantity	recover	resource_energy	resource_mental	resource_physical	resource_wild	schema_text	scheme	scheme text	scheme_acceleration	scheme_amplify	scheme_boost	scheme_crisis	scheme_hazard	scheme_text	set_code	set_name	set_position	spoiler	stage	subname	text	threat	threat_fixed	thwart	thwart_cost	traits	type_code
2				01010b										01010a		1			1					hero	"I never quit."	5	12				True	Captain Marvel	78343f41-6bfd-456d-965a-d6456a01a581	core	Core Set		10	1															captain_marvel	Captain Marvel					Rechannel — <b>Action</b>: Spend a [energy] resource and heal 1 damage from Captain Marvel → draw 1 card. (Limit once per round.)			2		Avenger. Soldier.	hero
														01010b		1								hero	"It's my job to protect the Earth and everyone on it."	6	12		True		True	Carol Danvers	78343f41-6bfd-456d-965a-d6456a01a581	core	Core Set		10	1	4														captain_marvel	Captain Marvel					Commander — <b>Action</b>: Choose a player to draw 1 card. (Limit once per round.)					S.H.I.E.L.D. Soldier.	alter_ego
2	1													01011	3	1								hero	"This is what I wanted: helping the innocents by hospitalizing the guilty."		2				True	Spider-Woman	66c3024c-28aa-4803-b772-b21c5397fa64	core	Core Set		11	1					1										captain_marvel	Captain Marvel	1			Jessica Drew	<b>Response</b>: After Spider-Woman enters play, confuse the villain.			2	1	Avenger. Spy.	ally
														01012	2	3								hero	"This is one of the more impressive messes I've ever seen." — Carol Danvers							Crisis Interdiction	dd9fbd85-7a49-4bb5-bcb2-7ef92333ce33	core	Core Set		12	3		1													captain_marvel	Captain Marvel	2				<b>Hero Action</b> (<i>thwart</i>): Remove 2 threat from a scheme. Then, if you have the [[Aerial]] trait, remove 2 threat from a different scheme.					Thwart.	event
														01013	3	3								hero								Photonic Blast	9843b01c-f11d-4a3f-9bc0-f20a9bbc48cd	core	Core Set		13	3				1											captain_marvel	Captain Marvel	5				<b>Hero Action</b> (<i>attack</i>): Deal 5 damage to an enemy. If you paid for this card using a [energy] resource, draw 1 card.					Attack. Superpower.	event
														01014		2								hero	"That's enough!" — Carol Danvers							Energy Absorption	5fd7d61f-d44e-43cc-b5a2-982d0e68c3aa	core	Core Set		14	2		3													captain_marvel	Captain Marvel	8										resource
														01015	1	1								hero	This low-orbit space station can beam cargo and crew to and from the Triskelion						True	Alpha Flight Station	fa6f18d7-8d43-4a69-9eaf-a9b5b6577fce	core	Core Set		15	1			1												captain_marvel	Captain Marvel	10				<b>Action</b>: Exhaust Alpha Flight Station, choose and discard 1 card from your hand → draw 1 card (draw 2 cards instead if you are Carol Danvers).					Location. S.H.I.E.L.D.	support
														01016	2	1								hero	"This is so cool!" — Jessica Drew						True	Captain Marvel's Helmet	4a0711af-292a-4fb5-8e1c-23c726465354	core	Core Set		16	1				1											captain_marvel	Captain Marvel	11				Captain Marvel gets +1 DEF (+2 DEF instead if you have the [[Aerial]] trait).					Armor. Tech.	upgrade
														01017	2	2								hero								Cosmic Flight	5b294403-a4c7-4786-867e-cc8bced674f6	core	Core Set		17	2		1													captain_marvel	Captain Marvel	12				Captain Marvel gains the [[Aerial]] trait.\n<b>Hero Interrupt</b> (<i>defense</i>): When Captain Marvel would take damage, discard Cosmic Flight → prevent 3 of that damage.					Superpower.	upgrade
														01018	0	2								hero								Energy Channel	88a66ea4-d071-463e-8c43-24f53350ea4c	core	Core Set		18	2			1												captain_marvel	Captain Marvel	14				Max 1 per player.\n<b>Action</b>: Spend X [energy] resources → put X energy counters here.\n<b>Hero Action</b> (<i>attack</i>): Discard Energy Channel → deal 2 damage to an enemy (to a maximum of 10) for each energy counter here.					Superpower.	upgrade
3				01019b										01019a		1			2					hero	"I'm six foot seven and bright green! People are gonna stare no matter how I dress."	4	15				True	She-Hulk	d46d5e03-c8b7-4ff5-8633-3941c0561812	core	Core Set		19	1															she_hulk	She-Hulk					"Do You Even Lift?" — <b>Response</b>: After you change to this form, deal 2 damage to an enemy.			1		Avenger. Gamma.	hero
														01019b		1								hero	"I can turn into a Hulk anytime I want. But just because you can do something doesn't always mean you should."	6	15		True		True	Jennifer Walters	d46d5e03-c8b7-4ff5-8633-3941c0561812	core	Core Set		19	1	5														she_hulk	She-Hulk					"I Object!" — <b>Interrupt</b>: When threat would be placed on a scheme, prevent 1 of that threat. (Limit once per round.)					Attorney. Gamma.	alter_ego
1	1													01020	3	1								hero	"Turn around gentlemen, and meet — the Hellcat!"		3				True	Hellcat	c7bff565-c40b-4ed7-a46f-a8c28ce6c589	core	Core Set		20	1					1										she_hulk	She-Hulk	1			Patsy Walker	<b>Action</b>: Return Hellcat to your hand.			2	1	Avenger.	ally
														01021	4	1								hero	"You messed with the wrong woman!" — She-Hulk							Gamma Slam	c7be5de7-441e-4077-a21a-211b8552bcb2	core	Core Set		21	1			1												she_hulk	She-Hulk	2				<b>Hero Action</b> (<i>attack</i>): Deal X damage to an enemy (to a maximum of 15). X is the amount of damage you have sustained.					Attack. Superpower.	event
														01022	2	2								hero	"These boots were made for stompin'." — She-Hulk							Ground Stomp	2546232b-5f39-43d5-8427-69bd1fbb9da8	core	Core Set		22	2			1												she_hulk	She-Hulk	3				<b>Hero Action</b>: Deal 1 damage to each enemy.					Superpower.	event
														01023	0	2								hero	"That's the first time I've ever seen someone argue their way out of a fight." — Spider-Man							Legal Practice	2d07f30d-9abe-49a3-8e8e-09a7fa925a41	core	Core Set		23	2				1											she_hulk	She-Hulk	5				<b>Alter-Ego Action</b> (<i>thwart</i>): Choose and discard up to 5 cards from your hand → remove 1 threat from a scheme for each card discarded this way.					Skill. Thwart.	event
														01024	1	3								hero	"I just don't care for men with fresh mouths." — Jennifer Walters							One-Two Punch	14b62a1f-56a2-4115-9717-9c7ca0c706ac	core	Core Set		24	3				1											she_hulk	She-Hulk	7				<b>Response</b>: After you make a basic attack <i>(using your ATK)</i>, ready She-Hulk.					Skill.	event
														01025	3	1								hero	"I know a thing or two about rage. And that kind of fury... it's not going to pass without taking someone with it." — Jennifer Walters							Split Personality	4d711d6f-e5f3-4e22-b1d4-e3f8e2f82b88	core	Core Set		25	1		1													she_hulk	She-Hulk	10				<b>Action</b>: Change your form <i>(flip your identity card)</i>. Then, draw up to your printed hand size.						event
														01026	1	1								hero	"I'll be sending you a bill. My time is valuable these days." — Jennifer Walters							Superhuman Law Division	316e8579-6ef0-476a-b449-eda0d05ecdd2	core	Core Set		26	1				1											she_hulk	She-Hulk	11				<b>Alter-Ego Action</b> (<i>thwart</i>): Exhaust Superhuman Law Division and spend a [mental] resource → remove 2 threat from a scheme.					Location.	support
														01027	3	2								hero								Focused Rage	b37aeafa-227b-4edf-8b00-7326ae1b45db	core	Core Set		27	2		1													she_hulk	She-Hulk	12				<b>Hero Action</b>: Exhaust Focused Rage and take 1 damage → draw 1 card.					Skill.	upgrade
														01028	2	2								hero								Superhuman Strength	562fbca4-2d38-4b65-96ba-4e933b0cea2f	core	Core Set		28	2			1												she_hulk	She-Hulk	14				She-Hulk gets +2 ATK.\n<b>Forced Response</b>: After She-Hulk attacks, discard Superhuman Strength → stun the attacked enemy.					Superpower.	upgrade
1				01029b										01029a		1			1					hero	"I am Iron Man."	1	9				True	Iron Man	9780ba79-44e4-4530-b865-5983a60372b0	core	Core Set		29	1															iron_man	Iron Man					You get +1 hand size for each [[Tech]] upgrade you control (to a maximum hand size of 7).			2		Avenger.	hero
														01029b		1								hero	"I'm obviously not doing this for the money..."	6	9		True		True	Tony Stark	9780ba79-44e4-4530-b865-5983a60372b0	core	Core Set		29	1	3														iron_man	Iron Man					Futurist — <b>Action</b>: Look at the top 3 cards of your deck. Add 1 to your hand and discard the others. (Limit once per round.)					Genius.	alter_ego
2	1													01030	4	1								hero	"Is this a private war — or can anyone join?"		4				True	War Machine	091b226f-5285-40f1-9aa0-a4b7a9449a7c	core	Core Set		30	1					1										iron_man	Iron Man	1			James Rhodes	<b>Action</b>: Exhaust War Machine and deal 2 damage to him → deal 1 damage to each enemy.			1	1	S.H.I.E.L.D. Soldier.	ally
														01031	1	3								hero								Repulsor Blast	08234002-9dd8-4a63-b012-7a9647b49b8a	core	Core Set		31	3				1											iron_man	Iron Man	2				<b>Hero Action</b> (<i>attack</i>): Deal 1 damage to an enemy and discard the top 5 cards of your deck. For each printed [energy] resource discarded this way, deal 2 additional damage to that enemy.					Attack. Superpower.	event
														01032	2	2								hero	"Nice technique. But if you do it like this... it hurts more." — Tony Stark							Supersonic Punch	98a1d5d7-e576-4da3-8d13-82fbb2042bfc	core	Core Set		32	2		1													iron_man	Iron Man	5				<b>Hero Action</b> (<i>attack</i>): Deal 4 damage to an enemy (8 damage instead if you have the [[Aerial]] trait).					Attack.	event
														01033	3	1								hero	"Do your thing. I've got this."						True	Pepper Potts	e7e08f4c-7505-46fa-be88-9e9e71c2470a	core	Core Set		33	1				1											iron_man	Iron Man	7				<b>Resource</b>: Exhaust Pepper Potts → generate the resources of the top card in your discard pile.					Persona.	support
														01034	2	1								hero	"I was hoping for something a little bigger. But this will do." — Tony Stark						True	Stark Tower	a880a5d8-3030-4b78-b924-31a6911730cc	core	Core Set		34	1			1												iron_man	Iron Man	8				<b>Alter-Ego Action</b>: Exhaust Stark Tower → choose a player. That player returns the topmost [[Tech]] upgrade in their discard pile to their hand.					Location.	support
														01035	2	1								hero	"When I put on this armor, I took on more power than any human was ever intended to have... and maybe more responsibility than my heart can truly bear." — Tony Stark						True	Arc Reactor	2b05d67a-9741-4636-a7d7-1b8e130ba380	core	Core Set		35	1		1													iron_man	Iron Man	9				<b>Hero Action</b>: Exhaust Arc Reactor → ready Iron Man.					Item. Tech.	upgrade
														01036	3	1								hero	"Is that all you've got!" — Tony Stark						True	Mark V Armor	43b510f4-1d90-42d4-b414-c7e27ff8e824	core	Core Set		36	1			1												iron_man	Iron Man	10				You get +6 hit points.					Armor. Tech.	upgrade
														01037	1	1								hero	"Tony, are you sure you want to do that!" — P.E.P.P.E.R.						True	Mark V Helmet	2cd0b387-5223-484f-8cfe-2d8d7a7cc7e8	core	Core Set		37	1				1											iron_man	Iron Man	11				<b>Hero Action</b> (<i>thwart</i>): Exhaust Mark V Helmet → remove 1 threat from a scheme (from each scheme instead if you have the [[Aerial]] trait).					Armor. Tech.	upgrade
														01038	2	2								hero	"Please, let me give you... a hand." — Tony Stark							Powered Gauntlets	13e64917-d277-44e7-a649-90e69df67ba9	core	Core Set		38	2		1													iron_man	Iron Man	12				<b>Hero Action</b> (<i>attack</i>): Exhaust Powered Gauntlets → deal 1 damage to an enemy (2 damage instead if you have the [[Aerial]] trait).					Armor. Tech.	upgrade
														01039	1	2								hero								Rocket Boots	fd37efd8-d1fd-49c1-9ded-9ef3ebb763b2	core	Core Set		39	2			1												iron_man	Iron Man	14				You get +1 hit point.\n<b>Hero Action</b>: Exhaust Rocket Boots and spend a [mental] resource → gain the [[Aerial]] trait until the end of the phase.					Armor. Tech.	upgrade
2				01040b										01040a		1			2					hero	"To attack me is to attack Wakanda."	5	11				True	Black Panther	ced52353-61f7-4ed1-8469-01d396904d61	core	Core Set		40	1															black_panther	Black Panther					Retaliate 1. <i>(After this character is attacked, deal 1 damage to the attacking character.)</i>			2		Avenger. Wakanda.	hero
														01040b		1								hero		6	11		True		True	T'Challa	ced52353-61f7-4ed1-8469-01d396904d61	core	Core Set		40	1	4														black_panther	Black Panther					Foresight — <b>Setup</b>: Search your deck for a [[Black Panther]] upgrade and add it to your hand. Shuffle your deck.					King. Wakanda.	alter_ego
1	1													01041	2	1								hero	"You would be lost without me, brother!"		3				True	Shuri	b089edac-1010-4dcb-a679-dab7ba75b041	core	Core Set		41	1				1											black_panther	Black Panther	1				<b>Response</b>: After Shuri enters play, search your deck for an upgrade and add it to your hand. Shuffle your deck.			1	1	Genius. Wakanda.	ally
														01042	1	1								hero	"In Wakanda, we draw strength from the knowledge of our ancestors." — T'Challa							Ancestral Knowledge	d0b8108c-26a7-45bc-a529-3244768f474d	core	Core Set		42	1			1												black_panther	Black Panther	2				<b>Alter-Ego Action</b>: Choose up to 3 different cards in your discard pile and shuffle them into your deck.						event
														01043a	1	1								hero								Wakanda Forever!	9e348b42-e067-4bae-acf3-46d2d742e9ff	core	Core Set		43	1		1													black_panther	Black Panther	3				<b>Hero Action</b>: Resolve the "<b>Special</b>" ability on each [[Black Panther]] upgrade you control in any order. <i>(Resolving each ability is a step in a sequence.)</i>					Tactic.	event
														01043b	1	1								hero								Wakanda Forever!	9129d847-2443-4cb2-9f5f-6542c7c01718	core	Core Set		43	1			1												black_panther	Black Panther	4				<b>Hero Action</b>: Resolve the "<b>Special</b>" ability on each [[Black Panther]] upgrade you control in any order. <i>(Resolving each ability is a step in a sequence.)</i>					Tactic.	event
														01043c	1	1								hero								Wakanda Forever!	4b88f8df-9eeb-43ba-9114-40b76b55cb6f	core	Core Set		43	1				1											black_panther	Black Panther	5				<b>Hero Action</b>: Resolve the "<b>Special</b>" ability on each [[Black Panther]] upgrade you control in any order. <i>(Resolving each ability is a step in a sequence.)</i>					Tactic.	event
														01043d	1	2								hero								Wakanda Forever!	20def532-1101-43f3-b27b-2d57335664d0	core	Core Set		43	2					1										black_panther	Black Panther	6				<b>Hero Action</b>: Resolve the "<b>Special</b>" ability on each [[Black Panther]] upgrade you control in any order. <i>(Resolving each ability is a step in a sequence.)</i>					Tactic.	event
														01044		3								hero	"Since the time of Bashenga, we've controlled our destiny as few other nations have."							Vibranium	04138154-763e-449d-b53e-ef3b1f053bb3	core	Core Set		44	3					2										black_panther	Black Panther	8										resource
														01045	2	1								hero	Wakanda's capital city is an unrivaled architectural and technological marvel.						True	The Golden City	f0d47c90-7349-4440-b6e8-78a04293621c	core	Core Set		45	1		1													black_panther	Black Panther	11				<b>Alter-Ego Action</b>: Exhaust The Golden City → draw 2 cards.					Location. Wakanda.	support
														01046	2	1								hero								Energy Daggers	cfbadb2e-90cc-4898-b760-0fa7f971fcfe	core	Core Set		46	1			1												black_panther	Black Panther	12				<b>Special</b>: Choose a player. Deal 1 damage to the villain and to each enemy engaged with that player (2 damage instead if this is the final step of this sequence).\n<i>(Play the "Wakanda Forever!" event to use this ability.)</i>					Black Panther. Weapon.	upgrade
														01047	2	1								hero								Panther Claws	576fa771-26be-497f-b5b2-ff86edb09bfa	core	Core Set		47	1		1													black_panther	Black Panther	13				<b>Special</b> (<i>attack</i>): Deal 2 damage to an enemy (4 damage instead if this is the final step of this sequence).\n<i>(Play the "Wakanda Forever!" event to use this ability.)</i>					Black Panther. Weapon.	upgrade
														01048	2	1								hero								Tactical Genius	6f0c70e1-1b39-4ec8-89f5-62dcd9b406a7	core	Core Set		48	1				1											black_panther	Black Panther	14				<b>Special</b> (<i>thwart</i>): Remove 1 threat from a scheme (2 threat instead if this is the final step of this sequence).\n<i>(Play the "Wakanda Forever!" event to use this ability.)</i>					Black Panther. Skill.	upgrade
														01049	2	1								hero								Vibranium Suit	a9469ef7-c792-4b2b-a2ed-d46684cf67a5	core	Core Set		49	1			1												black_panther	Black Panther	15				<b>Special</b> (<i>attack</i>): Move 1 damage from your hero to an enemy (2 damage instead if this is the final step of this sequence).\n<i>(Play the "Wakanda Forever!" event to use this ability.)</i>					Armor. Black Panther.	upgrade
3	1													01050	2	1								aggression			5				True	Hulk	a690f1b8-7ffc-4330-b715-298e76851f71	core	Core Set		50	1		1																		Bruce Banner	<b>Forced Response</b>: After Hulk attacks, discard the top card of your deck. If that card's printed resource has:\n[physical] - Deal 2 damage to an enemy.\n[energy] - Deal 1 damage to each character.\n[mental] - Discard Hulk.\n[wild] - All of the above.			None		Avenger. Gamma.	ally
2	1													01051	3	1								aggression	"Sorry — no autographs."		3				True	Tigra	ce90e714-7f44-4343-9d2e-a67ff71c119c	core	Core Set		51	1			1																	Greer Grant Nelson	<b>Response</b>: After Tigra attacks and defeats a minion, heal 1 damage from her.			1	1	Avenger.	ally
														01052	0	3								aggression	"Kamala, we don't have a theme song. Please stop humming one..." — Captain Marvel							Chase Them Down	2e4ddba3-8b3f-479b-bf64-c2c25b5b6fef	core	Core Set		52	3			1																		<b>Response</b> (<i>thwart</i>): After your hero attacks and defeats an enemy, remove 2 threat from a scheme.					Thwart.	event
														01053	2	3								aggression								Relentless Assault	540a11a4-a630-4a18-b59b-d11f60191b92	core	Core Set		53	3		1																			<b>Hero Action</b> (<i>attack</i>): Deal 5 damage to a minion. If you paid for this card using a [physical] resource, this attack gains overkill. <i>(Excess damage from this attack is dealt to the villain.)</i>					Attack.	event
														01054	3	3								aggression	SMACK!							Uppercut	30d53042-f68d-4607-afad-257f33099788	core	Core Set		54	3				1																	<b>Hero Action</b> (<i>attack</i>): Deal 5 damage to an enemy.					Attack.	event
														01055		2								aggression								The Power of Aggression	e81c8970-6e8f-4dff-ac6b-b2a913329e8e	core	Core Set		55	2					1																Max 2 per deck.\nDouble the number of resources this card generates while paying for a Aggression <i>(red)</i> card.						resource
														01056	3	3								aggression								Tac Team	8c19e625-e6b4-4b77-ae79-2ef6e946511d	core	Core Set		56	3		1																			Uses (3 attack counters). <i>(Enters play with 3 counters. When those are gone, discard this card)</i>\n<b>Action</b>: Exhaust Tac Team and remove 1 attack counter from it → deal 2 damage to an enemy.					S.H.I.E.L.D.	support
														01057	2	3								aggression	"Tony! She did it again!" — Janet Van Dyne							Combat Training	55102c6c-0197-41af-999d-47df7f8ce521	core	Core Set		57	3				1																	Play under any player's control. Max 1 per player.\nYour hero gets +1 ATK.					Skill.	upgrade
2	1													01059	3	1								justice	"I am very good at finding people."		3				True	Jessica Jones	0edd43ce-a861-4352-aea7-8a53a100f6cd	core	Core Set		59	1		1																			Jessica Jones gets +1 THW for each side scheme in play.			1	1	Defender.	ally
2	1													01058	4	1								justice	"Sometimes, I think I accomplish more with my fists than with my law firm."		3				True	Daredevil	9db3e447-9429-4641-8dfd-2f34e3ca64cc	core	Core Set		58	1				1																Matt Murdock	<b>Response</b>: After Daredevil thwarts, deal 1 damage to an enemy.			2	1	Defender.	ally
														01060	2	3								justice	"You lose. And you're going to answer for what you've done." — Captain America							For Justice!	8c071923-f2b1-44e9-a579-db84bb823cc0	core	Core Set		60	3		1																			<b>Hero Action</b> (<i>thwart</i>): Remove 3 threat from a scheme (4 threat instead if you paid for this card using a [mental] resource).					Thwart.	event
														01061	0	3								justice								Great Responsibility	48acb22e-8bb3-4e0c-ae62-696bbf5830ac	core	Core Set		61	3			1																		<b>Hero Interrupt</b>: When any amount of threat would be placed on a scheme, you take it as damage instead.						event
														01062		2								justice								The Power of Justice	e026becd-b30b-42de-b699-dfc9041c3e87	core	Core Set		62	2					1																Max 2 per deck.\nDouble the number of resources this card generates while paying for a Justice <i>(yellow)</i> card.						resource
														01063	1	3								justice	"Oh, she's sorry! Let me get the keys and call you a car service!" — Misty Knight							Interrogation Room	4ba26dae-aba7-49ad-b32f-ac8f7082dd65	core	Core Set		63	3		1																			Max 1 per player.\n<b>Response</b>: After you defeat a minion, exhaust Interrogation Room → remove 1 threat from a scheme.					Location.	support
														01064	2	3								justice								Surveillance Team	32d2a72b-c11b-4269-99c8-83bf6ec3633a	core	Core Set		64	3			1																		Uses (3 snoop counters). <i>(Enters play with 3 counters. When those are gone, discard this card)</i>\n<b>Action</b>: Exhaust Surveillance Team and remove 1 snoop counter from it → remove 1 threat from a scheme.					S.H.I.E.L.D.	support
														01065	2	3								justice								Heroic Intuition	c7bb3cde-ddd6-415d-a999-29fc98c841d8	core	Core Set		65	3		1																			Play under any player's control. Max 1 per player.\nYour hero gets +1 THW.					Skill.	upgrade
1	1													01066	3	1								leadership			3				True	Hawkeye	132a6e25-8d70-416a-aede-2e9cc243de66	core	Core Set		66	1		1																		Clint Barton	Hawkeye enters play with 4 arrow counters on him.\n<b>Response</b>: After a minion enters play, remove 1 arrow counter from Hawkeye → deal 2 damage to that minion.			1	1	Avenger.	ally
1	1													01067	2	1								leadership	"Believe it or not, we all want the same thing."		2				True	Maria Hill	ae2b89a1-2c67-4207-9281-21bdae5c176b	core	Core Set		67	1			1																		<b>Response</b>: After Maria Hill enters play, each player draws 1 card.			2	1	S.H.I.E.L.D.	ally
2	1													01068	4	1								leadership	"I will handle this"		3				True	Vision	a19ba47a-07f7-4521-9d50-5367e375cb01	core	Core Set		68	1				1																	<b>Action</b>: Spend a [energy] resource → choose THW or ATK. Until the end of the phase, Vision gets +2 to the chosen power. (Limit once per round.)			1	1	Android. Avenger.	ally
														01069	0	3								leadership	"We train hard every day so that when the time comes, we'll be ready" — Steve Rogers							Get Ready	6d82a251-a132-4b20-a941-fc04b1cf10ef	core	Core Set		69	3				1																	<b>Action</b>: Ready an ally.						event
														01070	2	3								leadership	"Let's go everyone!" — Carol Danvers							Lead from the Front	1447eda1-bb33-4abd-b78b-b278a87f1631	core	Core Set		70	3		1																			<b>Hero Action</b>: Choose a player. Each character that player controls gets +1 THW and +1 ATK until the end of the phase.					Tactic.	event
														01071	0	3								leadership	"This is a code red! All hands on deck!" — Maria Hill							Make the Call	23d1d2d0-88ea-410c-84a8-da63872db6b9	core	Core Set		71	3			1																		<b>Action</b>: Pay the printed cost of an ally in any player's discard pile → put that ally into play under your control.						event
														01072		2								leadership								The Power of Leadership	ba5d2c1f-2fb8-4e92-9c77-c50222bc1a9c	core	Core Set		72	2					1																Max 2 per deck.\nDouble the number of resources this card generates while paying for a Leadership <i>(blue)</i> card.						resource
														01073	1	1								leadership	"This they made it tall enough?" — She-Hulk						True	The Triskelion	f8d06472-2828-4a79-8ffc-4234025efd14	core	Core Set		73	1		1																			Increase your ally limit by 1. <i>(This allows you to control more than 3 allies.)</i>					Location. S.H.I.E.L.D.	support
														01074	1	3								leadership	"I'm glad she's on our side." — Star-Lord							Inspired	9c6681b7-42bf-4ae8-a123-8ca9a8a28ac3	core	Core Set		74	3				1																	Attach to an ally. Max 1 per ally.\nAttached ally gets +1 THW and +1 ATK.					Condition.	upgrade
1	1													01075	3	1								protection			2				True	Black Widow	5a7fee35-ad78-4763-ae4a-8455f8872289	core	Core Set		75	1				1																Natasha Romanoff	<b>Interrupt</b>: When a card is revealed from the encounter deck, exhaust Black Widow and spend a [mental] resource → cancel the effects of that card and discard it. Then, reveal another card from the encounter deck.			2	1	S.H.I.E.L.D. Spy.	ally
2	1													01076	4	1								protection	"Power Man for hire — Cage speakin'."		5				True	Luke Cage	03db5a4b-3bdf-4a8e-8569-d9641ee4565f	core	Core Set		76	1		1																			Toughness. <i>(This character enters play with a tough status card.)</i>			1	1	Defender.	ally
														01077	0	3								protection	"That's what you get!" — Iron Fist							Counter-Punch	d9099ad2-c654-411f-8e9b-080bee245ef4	core	Core Set		77	3				1																	<b>Response</b> (<i>attack</i>): After your hero defends against an enemy attack, deal damage to that enemy equal to your hero's ATK.					Attack.	event
														01078	1	3								protection	"Ahem! Stand aside, citizens!" — Ms. Marvel							Get Behind Me!	67148069-a6e4-4f69-856c-a08c8c4ae5e1	core	Core Set		78	3			1																		<b>Hero Interrupt</b>: When a treachery card is revealed from the encounter deck, cancel its "<b>When Revealed</b>" effects. The villain attacks you instead.						event
														01079		2								protection								The Power of Protection	a0390985-df47-494a-85fc-f92a83518e34	core	Core Set		79	2					1																Max 2 per deck.\nDouble the number of resources this card generates while paying for a Protection <i>(green)</i> card.						resource
														01080	3	3								protection								Med Team	b7c500ec-9b58-43cb-9310-0ac806a102c8	core	Core Set		80	3		1																			Uses (3 medical counters). <i>(Enters play with 3 counters. When those are gone, discard this card.)</i>\n<b>Action</b>: Exhaust Med Team and remove 1 medical counter from it → heal 2 damage from a friendly character.					S.H.I.E.L.D.	support
														01081	1	3								protection	Life-saving and stylish.							Armored Vest	2bd1068a-73f7-4c58-a212-55cde44e09b1	core	Core Set		81	3			1																		Play under any player's control. Max 1 per player.\nYour hero gets +1 DEF.					Armor.	upgrade
